rank,country_name,finalIq,pop2021,mother_educ,father_educ,gender,internet,math,read,science,stu_wgt,desk,room,television,computer_n,car,book,wealth,escs,class
44,Israel,94,8789.774,ISCED 3A,ISCED 3A,female,yes,684.659,781.152,682.701,16.41322,yes,yes,2,3+,2,26-100,0.6786,0.8002,LOW-MED
70,Mexico,87,130262.216,ISCED 1,less than ISCED1,female,no,378.43,440.608,399.456,157.818,no,no,1,0,1,0-10,-3.7196,-3.0058,LOW-MED
77,Georgia,86,3979.765,ISCED 2,"ISCED 3B, C",male,yes,571.664,501.44,532.275,7.69967,yes,yes,3+,2,3+,more than 500,0.8719,0.382,LOW-MED
117,Albania,82,2872.933,ISCED 3A,ISCED 3A,male,yes,438.057,374.132,475.88,3.50935,yes,yes,3+,2,2,0-10,-0.2001,-0.01987499999999999,LOW
16,Belgium,99,11632.326,ISCED 2,ISCED 1,female,yes,556.588,527.058,537.924,12.6269,yes,yes,3+,3+,1,201-500,0.6337,-1.1413,HIGH
8,Canada,100,38067.903,ISCED 2,ISCED 3A,female,yes,448.064,548.401,538.525,13.77075,yes,yes,1,3+,1,26-100,0.4689,0.8345,HIGH
10,Switzerland,100,8715.494,"ISCED 3B, C","ISCED 3B, C",male,yes,660.514,676.976,719.375,14.76625,yes,yes,2,3+,2,201-500,0.5296,0.4974,HIGH
15,Australia,99,25788.215,ISCED 3A,ISCED 3A,female,yes,512.252,602.112,518.022,2.73348,yes,yes,3+,2,3+,11-25,1.0855,-0.2071,HIGH
1,Singapore,107,5896.686,ISCED 3A,ISCED 3A,female,yes,699.826,679.017,699.308,8.03043,yes,yes,3+,3+,3+,101-200,2.2697,1.7887,HIGH
17,Austria,99,9043.07,ISCED 3A,ISCED 3A,male,yes,391.482,327.849,419.415,5.19676,yes,yes,2,2,1,11-25,-0.6821,-0.6069,HIGH
95,Algeria,84,44616.624,ISCED 1,ISCED 2,male,no,449.521,342.855,371.663,56.6396,yes,no,2,0,1,0-10,-2.4251750000000003,-1.570975,LOW
9,Netherlands,100,17173.099,ISCED 2,ISCED 3A,male,yes,570.435,587.018,645.333,22.81997,yes,yes,3+,3+,2,26-100,0.939,0.2618,HIGH
34,Italy,96,60367.477,"ISCED 3B, C","ISCED 3B, C",female,yes,516.124,518.618,507.699,83.95303,yes,yes,2,1,3+,201-500,-0.6734,-0.1715,MED-HIGH
36,Poland,96,37797.005,ISCED 3A,"ISCED 3B, C",male,yes,523.044,495.776,481.037,73.02852,yes,yes,3+,2,3+,more than 500,0.3291,-0.4901,MED-HIGH
81,Brazil,85,213993.437,ISCED 2,ISCED 3A,female,yes,273.206,311.931,289.389,56.30319,no,yes,1,0,0,0-10,-2.3186,-1.7199,LOW
27,United States,97,332915.073,ISCED 3A,ISCED 3A,male,yes,349.237,304.737,292.203,522.5114,yes,no,3+,1,1,11-25,-0.5616,-0.9415,MED-HIGH
33,Russia,96,145912.025,ISCED 2,ISCED 3A,female,yes,480.223,570.043,528.962,137.394,yes,yes,3+,3+,1,more than 500,0.3461,0.9499,MED-HIGH
30,Croatia,97,4081.651,ISCED 3A,ISCED 3A,male,yes,517.13,580.144,589.062,7.33223,yes,yes,1,3+,1,0-10,-0.4961,0.8346,MED-HIGH
8,Canada,100,38067.903,ISCED 2,ISCED 2,male,yes,412.69,369.798,331.733,54.01234,yes,yes,1,1,1,0-10,-1.1311,0.2824,HIGH
46,Lithuania,94,2689.862,"ISCED 3B, C","ISCED 3B, C",female,yes,482.095,462.68,453.629,5.72156,yes,no,1,1,0,11-25,-1.1514,-1.3591,LOW-MED
108,Colombia,83,51265.844,ISCED 3A,ISCED 3A,male,no,506.865,478.14,460.589,53.03549,no,yes,3+,0,1,26-100,-1.8038,-1.1511,LOW
20,France,98,65426.179,"ISCED 3B, C","ISCED 3B, C",female,yes,453.016,526.366,460.335,104.3078,yes,yes,1,2,3+,26-100,0.0534,-0.1251,HIGH
52,Moldova,92,4024.019,"ISCED 3B, C",ISCED 2,male,yes,428.183,510.223,466.055,9.09406,yes,yes,2,1,1,11-25,-1.3068,-1.1422,LOW-MED
24,Slovakia,98,5460.721,ISCED 2,ISCED 2,male,no,244.68,233.154,245.609,6.86237,no,no,1,0,0,0-10,-5.0639,-4.8135,HIGH
14,United Kingdom,99,68207.116,ISCED 3A,"ISCED 3B, C",male,yes,449.952,388.722,478.615,130.5169,yes,yes,3+,3+,3+,101-200,2.2802,0.6041,HIGH
5,South Korea,104,51305.186,ISCED 3A,ISCED 3A,male,yes,623.712,629.132,613.601,112.3708,yes,yes,2,2,1,more than 500,-0.5033,-0.0565,HIGH
5,South Korea,104,51305.186,ISCED 3A,ISCED 3A,male,yes,435.356,387.791,425.328,97.20536,yes,yes,3+,1,2,11-25,-0.6022,-0.9184,HIGH
81,Brazil,85,213993.437,ISCED 2,ISCED 2,female,no,252.201,323.878,394.204,386.0856,no,yes,1,1,2,0-10,-1.5624,-1.929,LOW
44,Israel,94,8789.774,"ISCED 3B, C",ISCED 3A,male,yes,340.877,356.653,344.305,16.61069,yes,yes,3+,1,1,more than 500,-0.714,-0.5692,LOW-MED
24,Slovakia,98,5460.721,ISCED 3A,ISCED 3A,male,yes,595.962,493.458,563.596,5.76854,yes,yes,3+,3+,1,26-100,-0.2332,-0.6477,HIGH
8,Canada,100,38067.903,ISCED 3A,ISCED 3A,male,yes,539.209,559.481,584.718,3.45876,yes,yes,3+,2,2,26-100,1.1831,1.2885,HIGH
127,Qatar,80,2930.528,ISCED 3A,"ISCED 3B, C",female,yes,389.794,373.404,389.03,1.36186,yes,yes,3+,3+,3+,101-200,1.0708,1.2763,LOW
108,Colombia,83,51265.844,ISCED 3A,ISCED 3A,male,yes,365.162,404.201,427.564,91.26234,yes,no,1,1,0,0-10,-2.4568,-1.7831,LOW
5,South Korea,104,51305.186,ISCED 2,ISCED 3A,female,yes,451.512,484.417,409.254,94.08038,yes,yes,1,1,2,11-25,-0.7435,0.1462,HIGH
35,Spain,96,46745.216,ISCED 3A,ISCED 3A,female,no,350.907,433.459,337.574,60.63663,yes,yes,2,1,2,201-500,-0.6319,-0.6874,MED-HIGH
70,Mexico,87,130262.216,"ISCED 3B, C",ISCED 2,female,no,421.45,475.305,438.141,153.5865,yes,yes,3+,0,0,26-100,-2.1928,-1.7094,LOW-MED
41,Vietnam,94,98168.833,ISCED 2,less than ISCED1,male,no,308.02,384.286,382.087,324.3638,yes,yes,1,1,0,0-10,-2.9382,-2.6683,LOW-MED
38,Latvia,95,1866.942,ISCED 3A,ISCED 3A,male,yes,463.704,454.69,502.216,2.69389,yes,yes,2,3+,1,26-100,0.4766,0.8283,MED-HIGH
91,Montenegro,85,628.053,"ISCED 3B, C","ISCED 3B, C",male,yes,323.699,479.357,474.722,1.75804,yes,yes,3+,3+,2,26-100,0.6008,1.4577,LOW
48,Bulgaria,93,6896.663,"ISCED 3B, C",ISCED 2,male,yes,540.6,476.279,544.286,8.83006,yes,no,3+,1,1,101-200,-0.9096,-0.2384,LOW-MED
38,Latvia,95,1866.942,"ISCED 3B, C",ISCED 3A,male,yes,496.982,447.753,502.233,2.98748,yes,yes,3+,2,1,11-25,-0.4952,-1.0611,MED-HIGH
48,Bulgaria,93,6896.663,ISCED 3A,"ISCED 3B, C",male,yes,479.286,487.845,526.604,8.87093,yes,no,2,3+,1,101-200,-0.3534,0.0105,LOW-MED
8,Canada,100,38067.903,ISCED 3A,ISCED 3A,female,yes,559.802,605.73,577.423,45.05614,yes,yes,2,1,2,26-100,-0.0457,0.4729,HIGH
36,Poland,96,37797.005,ISCED 2,ISCED 2,female,yes,395.524,423.258,383.19,89.6208,yes,yes,1,2,0,0-10,-1.7927,-2.0552,MED-HIGH
58,Uruguay,90,3485.151,ISCED 2,ISCED 2,female,yes,343.349,291.65,328.254,12.79801,yes,yes,2,1,1,0-10,-0.9954,-1.4821,LOW-MED
52,Moldova,92,4024.019,ISCED 2,"ISCED 3B, C",male,yes,414.319,393.586,468.194,4.54703,yes,yes,1,2,1,26-100,-0.5686,-0.9064,LOW-MED
62,Chile,89,19212.361,ISCED 3A,ISCED 3A,female,yes,463.225,538.293,539.635,8.46228,yes,yes,3+,3+,3+,101-200,1.7856,1.6464,LOW-MED
17,Austria,99,9043.07,ISCED 3A,"ISCED 3B, C",female,yes,509.696,574.813,587.431,8.61934,yes,yes,1,2,2,101-200,-0.5266,-0.4052,HIGH
108,Colombia,83,51265.844,ISCED 3A,ISCED 3A,female,yes,310.129,323.611,327.639,16.50753,no,no,2,2,0,11-25,-1.6432,-1.6043,LOW
44,Israel,94,8789.774,ISCED 3A,ISCED 3A,male,yes,643.963,640.289,610.545,15.09458,yes,yes,3+,3+,1,101-200,0.5258,1.1302,LOW-MED
73,United Arab Emirates,87,9991.089,ISCED 3A,ISCED 3A,female,yes,401.968,498.698,448.343,1.1167,no,yes,3+,2,1,11-25,0.4963,0.445,LOW-MED
85,Tunisia,85,11935.766,ISCED 3A,ISCED 3A,female,yes,357.148,409.83,454.279,17.75164,yes,no,1,1,1,26-100,-1.4644,-1.446,LOW
58,Uruguay,90,3485.151,ISCED 1,ISCED 1,male,no,321.401,253.055,334.298,7.81111,no,yes,2,0,1,0-10,-2.3087,-2.5841,LOW-MED
26,Iceland,98,343.353,ISCED 3A,ISCED 3A,male,yes,494.521,459.598,476.174,1.09524,yes,yes,2,1,1,201-500,0.3025,1.4296,HIGH
9,Netherlands,100,17173.099,ISCED 3A,ISCED 3A,female,yes,563.176,541.818,544.407,34.17121,yes,yes,1,3+,1,26-100,-0.2546,0.6975,HIGH
81,Brazil,85,213993.437,ISCED 3A,ISCED 3A,male,yes,361.967,436.339,442.201,13.43594,yes,yes,1,1,1,0-10,-1.1718,-0.6823,LOW
62,Chile,89,19212.361,ISCED 3A,ISCED 2,male,yes,470.359,437.548,427.979,38.19375,yes,yes,3+,2,1,11-25,-0.7808,-1.5678,LOW-MED
96,Peru,84,33359.418,ISCED 3A,ISCED 3A,female,yes,540.178,547.177,544.155,67.2832,yes,no,1,3+,0,26-100,-0.962,0.9069,LOW
75,Jordan,86,10269.021,ISCED 3A,ISCED 3A,male,yes,353.263,264.026,300.838,6.74288,yes,yes,2,3+,2,26-100,-0.3086,0.7273,LOW-MED
77,Georgia,86,3979.765,ISCED 3A,ISCED 3A,male,yes,364.762,238.36,407.71,4.5,yes,yes,1,1,0,11-25,-1.4632,-0.648,LOW-MED
96,Peru,84,33359.418,ISCED 3A,less than ISCED1,male,yes,440.364,443.004,430.391,63.45466,yes,yes,3+,1,1,11-25,-1.044,0.8127,LOW
108,Colombia,83,51265.844,"ISCED 3B, C","ISCED 3B, C",female,yes,297.834,303.895,333.805,102.2146,yes,no,1,1,0,0-10,-1.4905,-0.5278,LOW
10,Switzerland,100,8715.494,"ISCED 3B, C","ISCED 3B, C",male,yes,558.216,430.982,410.437,11.69511,yes,yes,3+,3+,2,0-10,0.5422,-0.7058,HIGH
38,Latvia,95,1866.942,ISCED 3A,ISCED 3A,female,yes,502.985,571.46,587.233,5.73661,yes,yes,3+,2,2,201-500,0.8838,0.9245,MED-HIGH
70,Mexico,87,130262.216,ISCED 2,ISCED 3A,male,yes,322.77,333.499,395.687,202.6685,yes,yes,3+,1,0,0-10,-0.8809250000000001,-0.9252,LOW-MED
8,Canada,100,38067.903,ISCED 3A,ISCED 3A,male,yes,669.34,645.822,674.22,4.48934,yes,yes,3+,2,0,101-200,-0.6208,-0.5788,HIGH
8,Canada,100,38067.903,ISCED 3A,ISCED 3A,female,yes,643.783,514.378,614.812,27.89857,yes,yes,1,3+,1,26-100,-0.4563,-0.253,HIGH
4,Japan,104,126050.804,ISCED 3A,ISCED 3A,male,yes,509.889,360.918,493.452,167.2847,yes,yes,3+,3+,3+,201-500,1.4906,0.4299,HIGH
76,Costa Rica,86,5139.052,less than ISCED1,less than ISCED1,male,yes,328.286,284.873,304.115,5.04038,yes,no,1,1,0,0-10,-2.3805,-2.7136,LOW-MED
91,Montenegro,85,628.053,ISCED 2,"ISCED 3B, C",female,no,339.309,410.835,272.761,1.03571,no,yes,2,1,0,101-200,-2.0789,-1.729,LOW
61,Thailand,89,69950.85,ISCED 3A,ISCED 3A,female,yes,464.817,514.869,498.404,108.6045,yes,yes,3+,3+,3+,201-500,1.134,1.5223,LOW-MED
31,Slovenia,97,2078.724,"ISCED 3B, C","ISCED 3B, C",female,yes,451.553,512.098,487.608,5.15047,yes,yes,2,1,1,26-100,-0.5113,-0.7098,MED-HIGH
44,Israel,94,8789.774,ISCED 3A,ISCED 2,male,no,410.536,333.05,431.004,32.01624,yes,yes,2,2,0,26-100,-1.2958,-0.9407,LOW-MED
25,New Zealand,98,4860.643,"ISCED 3B, C","ISCED 3B, C",male,yes,451.525,496.118,529.378,9.31,yes,yes,2,2,2,11-25,0.2964,0.5409,HIGH
15,Australia,99,25788.215,ISCED 3A,ISCED 3A,male,yes,366.858,288.734,341.702,6.27204,yes,yes,3+,3+,1,0-10,0.7868,-0.3793,HIGH
70,Mexico,87,130262.216,ISCED 2,ISCED 2,female,no,487.019,461.55,477.659,234.1514,no,no,1,0,0,26-100,-3.8008,-2.8016,LOW-MED
44,Israel,94,8789.774,ISCED 3A,ISCED 3A,female,yes,524.503,506.981,502.122,14.15455,yes,yes,3+,1,2,11-25,0.361,0.6413,LOW-MED
27,United States,97,332915.073,ISCED 3A,ISCED 3A,male,no,334.109,357.165,361.49,404.7431,no,no,3+,3+,2,11-25,-0.5634,-1.0543,MED-HIGH
48,Bulgaria,93,6896.663,ISCED 3A,"ISCED 3B, C",male,yes,292.447,272.608,322.868,8.97482,yes,yes,2,2,2,11-25,0.1921,-0.5796,LOW-MED
116,Dominican Republic,82,10953.703,ISCED 2,ISCED 2,male,yes,248.932,313.79,284.979,27.31156,yes,yes,2,2,1,0-10,0.8006,-0.0026,LOW
62,Chile,89,19212.361,ISCED 3A,ISCED 3A,male,yes,472.336,553.944,505.685,9.04346,yes,yes,2,2,3+,201-500,0.0953,0.9655,LOW-MED
77,Georgia,86,3979.765,"ISCED 3B, C","ISCED 3B, C",female,yes,635.403,707.499,584.274,7.25397,yes,yes,1,2,0,201-500,-0.9365,0.6232,LOW-MED
11,Finland,100,5548.36,"ISCED 3B, C",ISCED 3A,female,yes,480.645,567.457,517.564,10.73891,yes,yes,3+,2,2,26-100,0.5412,0.9486,HIGH
62,Chile,89,19212.361,"ISCED 3B, C","ISCED 3B, C",female,yes,465.514,521.992,472.586,7.22982,no,yes,3+,2,2,26-100,0.648,0.2033,LOW-MED
54,Romania,91,19127.774,ISCED 3A,ISCED 3A,male,yes,409.121,419.55,386.149,37.80527,yes,yes,3+,3+,1,11-25,0.2331,-0.2716,LOW-MED
20,France,98,65426.179,ISCED 3A,"ISCED 3B, C",male,yes,581.504,389.69,493.285,155.957,yes,yes,3+,3+,3+,26-100,0.4608,-0.5829,HIGH
81,Brazil,85,213993.437,ISCED 1,ISCED 1,female,no,274.866,310.105,329.341,91.92822,no,no,1,1,1,11-25,-2.5988,-3.2271,LOW
73,United Arab Emirates,87,9991.089,ISCED 3A,ISCED 3A,male,yes,456.116,371.483,437.634,5.63413,yes,yes,2,2,2,0-10,-0.3785,-0.2141,LOW-MED
34,Italy,96,60367.477,ISCED 3A,ISCED 3A,male,yes,463.115,459.494,469.955,34.74583,yes,no,2,2,2,201-500,0.7478,1.3819,MED-HIGH
96,Peru,84,33359.418,ISCED 3A,ISCED 3A,female,no,391.728,382.018,391.624,67.1543,yes,yes,2,0,0,11-25,-2.334,-1.6959,LOW
28,Denmark,97,5813.298,"ISCED 3B, C",ISCED 2,female,yes,429.649,362.33,433.781,9.34375,yes,yes,3+,3+,2,101-200,0.9653,-0.4442,MED-HIGH
43,Portugal,94,10167.925,ISCED 3A,ISCED 3A,male,yes,501.868,587.94,536.461,2.79647,yes,yes,2,2,2,201-500,-0.1191,0.6468,LOW-MED
73,United Arab Emirates,87,9991.089,ISCED 3A,ISCED 3A,female,yes,406.143,422.502,398.667,7.77,yes,yes,3+,2,3+,11-25,1.5849,0.603,LOW-MED
25,New Zealand,98,4860.643,ISCED 3A,ISCED 3A,male,yes,509.669,526.186,508.305,11.58723,yes,yes,2,3+,3+,more than 500,0.6222,1.0566,HIGH
108,Colombia,83,51265.844,"ISCED 3B, C",less than ISCED1,male,yes,330.629,289.319,330.9,39.40721,yes,yes,0,1,0,0-10,-1.8755,-1.5864,LOW
61,Thailand,89,69950.85,ISCED 3A,"ISCED 3B, C",male,yes,374.111,436.667,469.642,108.596,yes,yes,0,0,1,0-10,-1.6223,-1.2278,LOW-MED
75,Jordan,86,10269.021,ISCED 3A,"ISCED 3B, C",male,yes,311.124,327.61,393.933,8.60177,yes,yes,2,1,1,11-25,-0.6824,0.1601,LOW-MED
10,Switzerland,100,8715.494,"ISCED 3B, C","ISCED 3B, C",female,yes,600.434,607.732,561.088,13.05177,yes,yes,2,3+,1,101-200,0.1243,-0.6551,HIGH
76,Costa Rica,86,5139.052,ISCED 2,ISCED 2,female,no,393.502,303.874,288.02,4.74471,no,yes,2,0,0,0-10,-2.2945,-0.664,LOW-MED
18,Estonia,99,1325.185,ISCED 3A,ISCED 3A,female,yes,654.42,630.441,634.253,1.47619,yes,yes,3+,3+,2,more than 500,0.2366,1.2375,HIGH
85,Tunisia,85,11935.766,ISCED 2,ISCED 2,female,yes,320.526,277.861,303.868,22.20743,yes,yes,0,0,1,11-25,-2.573,0.3071,LOW
75,Jordan,86,10269.021,"ISCED 3B, C",ISCED 3A,female,yes,479.33,469.537,496.559,10.57678,yes,yes,3+,3+,2,11-25,1.5225,0.5378,LOW-MED
96,Peru,84,33359.418,ISCED 2,ISCED 2,female,no,359.113,364.178,336.806,100.1922,yes,yes,0,0,0,0-10,-3.3663,-2.5019,LOW
26,Iceland,98,343.353,ISCED 3A,ISCED 3A,male,yes,505.452,464.549,561.037,1.12903,yes,yes,1,3+,2,101-200,0.6665,1.0327,HIGH
26,Iceland,98,343.353,"ISCED 3B, C",less than ISCED1,female,yes,505.212,593.068,588.037,1.14706,yes,yes,1,2,2,201-500,-1.0388,-0.008,HIGH
77,Georgia,86,3979.765,ISCED 3A,ISCED 3A,male,yes,326.843,304.678,269.233,7.56958,yes,yes,2,2,2,11-25,-0.3605,0.9724,LOW-MED
91,Montenegro,85,628.053,"ISCED 3B, C","ISCED 3B, C",male,yes,332.298,323.23,376.837,1.06522,yes,yes,1,1,1,11-25,-0.9521,0.1962,LOW
30,Croatia,97,4081.651,ISCED 2,ISCED 2,female,yes,408.903,490.521,420.582,7.61826,yes,yes,1,0,1,26-100,-2.0605,-2.2444,MED-HIGH
1,Singapore,107,5896.686,ISCED 3A,ISCED 3A,female,yes,452.39,467.069,462.771,6.01993,yes,no,3+,3+,2,11-25,1.2863,-0.2779,HIGH
40,Malta,95,442.784,ISCED 2,ISCED 2,female,yes,536.198,611.769,501.609,1.25862,yes,yes,3+,3+,1,11-25,0.3811,-0.9076,MED-HIGH
127,Qatar,80,2930.528,ISCED 3A,ISCED 3A,male,yes,319.222,364.632,337.865,1.02439,yes,yes,3+,3+,1,101-200,1.7229,1.6065,LOW
15,Australia,99,25788.215,ISCED 2,ISCED 2,female,yes,613.738,594.22,634.301,10.35684,yes,yes,3+,3+,3+,11-25,0.5404,-0.3874,HIGH
76,Costa Rica,86,5139.052,ISCED 3A,ISCED 3A,female,no,433.28,445.535,449.309,5.29575,yes,yes,2,0,0,0-10,-2.8447,-1.229,LOW-MED
73,United Arab Emirates,87,9991.089,ISCED 3A,ISCED 3A,female,yes,448.31,434.009,467.48,2.14286,yes,yes,3+,3+,3+,26-100,2.752,1.4094,LOW-MED
35,Spain,96,46745.216,ISCED 1,less than ISCED1,male,yes,435.674,251.673,354.281,92.62362,yes,yes,3+,3+,3+,26-100,0.8118,-2.1021,MED-HIGH
9,Netherlands,100,17173.099,ISCED 3A,ISCED 3A,female,yes,579.854,639.962,662.318,39.43077,yes,yes,1,3+,1,101-200,-0.3137,1.0945,HIGH
