rank,country_name,finalIq,pop2021,mother_educ,father_educ,gender,internet,math,read,science,stu_wgt,desk,room,television,computer_n,car,book,wealth,escs,class
15,Australia,99,25788.215,ISCED 3A,ISCED 3A,female,yes,496.754,566.564,548.179,34.19772,no,yes,3+,3+,1,0-10,0.5742,0.3158,HIGH
14,United Kingdom,99,68207.116,ISCED 3A,ISCED 3A,female,yes,560.957,617.16,579.901,15.97976,yes,yes,3+,3+,2,101-200,0.5382,0.9454,HIGH
34,Italy,96,60367.477,"ISCED 3B, C",ISCED 3A,male,yes,502.537,506.675,536.848,53.66151,yes,yes,3+,3+,2,201-500,2.2904,1.2792,MED-HIGH
108,Colombia,83,51265.844,ISCED 3A,ISCED 2,male,yes,501.46,529.145,537.237,2.33333,yes,yes,3+,3+,0,26-100,0.0816,0.1605,LOW
117,Albania,82,2872.933,ISCED 3A,"ISCED 3B, C",female,yes,521.138,498.964,562.037,7.59561,yes,yes,3+,3+,2,26-100,0.1716,0.4208,LOW
108,Colombia,83,51265.844,ISCED 2,ISCED 2,male,no,371.852,344.851,340.353,87.58429,no,yes,1,0,0,101-200,-3.4069,-2.7135,LOW
80,Indonesia,85,276361.783,ISCED 1,ISCED 1,female,no,372.702,447.724,398.572,297.35740976,no,no,2,0,0,11-25,-3.6922,-3.0889,LOW
30,Croatia,97,4081.651,ISCED 3A,ISCED 3A,female,yes,485.375,472.506,526.655,7.97058,yes,yes,2,3+,1,201-500,-0.4606,1.2508,MED-HIGH
24,Slovakia,98,5460.721,ISCED 3A,ISCED 3A,male,yes,496.065,511.94,462.909,6.99823,yes,yes,3+,2,1,26-100,-0.1747,0.7559,HIGH
34,Italy,96,60367.477,ISCED 3A,ISCED 3A,female,yes,401.996,490.863,400.151,35.24328,yes,yes,2,2,2,26-100,0.047,0.5137,MED-HIGH
34,Italy,96,60367.477,ISCED 2,ISCED 2,female,yes,395.918,410.889,432.549,49.04816,yes,yes,3+,2,2,26-100,-0.1458,-1.5176,MED-HIGH
28,Denmark,97,5813.298,ISCED 3A,ISCED 3A,male,yes,495.779,474.049,487.749,7.92659,yes,yes,3+,3+,2,101-200,1.1319,1.2389,MED-HIGH
95,Algeria,84,44616.624,ISCED 2,ISCED 2,female,yes,302.896,424.148,387.436,48.62339,yes,yes,1,0,0,0-10,-2.4458,-1.8768,LOW
9,Netherlands,100,17173.099,ISCED 3A,ISCED 3A,female,yes,470.367,506.824,478.566,31.5741,yes,yes,3+,3+,3+,201-500,2.529,1.333,HIGH
91,Montenegro,85,628.053,"ISCED 3B, C",ISCED 3A,male,yes,487.14,455.058,449.585,1.21896,yes,yes,3+,2,2,101-200,-0.3225,0.1285,LOW
81,Brazil,85,213993.437,less than ISCED1,less than ISCED1,male,yes,253.617,321.326,309.07,17.97004,no,yes,3+,1,0,11-25,-1.5332,-2.7962,LOW
20,France,98,65426.179,"ISCED 3B, C","ISCED 3B, C",female,yes,488.976,495.391,506.662,100.3316,yes,yes,3+,2,1,11-25,-0.0829,0.1046,HIGH
34,Italy,96,60367.477,"ISCED 3B, C",ISCED 3A,female,yes,596.168,520.955,545.22,2.30208,yes,yes,2,3+,2,101-200,0.2656,1.13,MED-HIGH
60,Turkey,89,85042.738,"ISCED 3B, C",ISCED 1,female,no,454.336,423.923,425.251,135.6764,yes,no,2,1,0,11-25,-2.3379,-1.3513,LOW-MED
8,Canada,100,38067.903,ISCED 3A,ISCED 3A,female,yes,377.159,288.655,348.482,1.13953,yes,yes,3+,3+,3+,11-25,1.561,0.081,HIGH
10,Switzerland,100,8715.494,ISCED 3A,"ISCED 3B, C",female,yes,535.653,549.075,538.285,13.55769,yes,yes,1,3+,2,201-500,0.8471,1.4581,HIGH
46,Lithuania,94,2689.862,ISCED 3A,ISCED 3A,female,yes,337.515,328.552,376.188,1.0792,yes,yes,2,1,0,0-10,-1.6813,-1.4489,LOW-MED
48,Bulgaria,93,6896.663,ISCED 3A,ISCED 3A,male,yes,306.458,227.122,245.178,9.30722,yes,yes,3+,3+,3+,more than 500,4.0874,1.5,LOW-MED
73,United Arab Emirates,87,9991.089,ISCED 3A,"ISCED 3B, C",male,yes,576.371,571.339,607.002,1.04651,yes,no,1,2,1,11-25,-0.3666,0.1504,LOW-MED
16,Belgium,99,11632.326,ISCED 3A,ISCED 3A,male,yes,517.014,521.504,590.597,10.90621,yes,no,3+,2,2,11-25,0.0082,-0.2435,HIGH
62,Chile,89,19212.361,ISCED 3A,ISCED 3A,male,yes,496.004,516.466,497.189,6.60062,no,yes,2,3+,1,11-25,0.0693,0.7787,LOW-MED
43,Portugal,94,10167.925,ISCED 2,ISCED 2,female,yes,384.434,436.914,378.916,18.47249,yes,yes,2,1,1,201-500,-0.6326,-0.9778,LOW-MED
108,Colombia,83,51265.844,"ISCED 3B, C",ISCED 2,male,yes,350.461,381.27,398.682,50.95614,yes,no,3+,1,0,0-10,-1.2398,-1.4863,LOW
47,Greece,93,10370.744,ISCED 3A,ISCED 3A,male,yes,276.039,368.939,266.53,7.45959,yes,no,2,2,1,26-100,-0.7706,-0.6274,LOW-MED
4,Japan,104,126050.804,ISCED 3A,ISCED 3A,female,yes,341.695,369.379,368.162,200.3097,yes,yes,3+,1,1,0-10,-0.6978,-0.731375,HIGH
96,Peru,84,33359.418,ISCED 3A,ISCED 3A,male,yes,474.951,478.574,479.611,54.07927,yes,yes,1,1,0,11-25,-1.9991,-0.1275,LOW
9,Netherlands,100,17173.099,ISCED 3A,ISCED 3A,female,yes,452.227,449.464,476.092,15.29107,yes,yes,3+,3+,1,11-25,0.4881,0.5959,HIGH
16,Belgium,99,11632.326,ISCED 3A,ISCED 3A,female,yes,558.452,557.644,547.477,8.97694,yes,yes,3+,3+,1,101-200,0.1548,1.2181,HIGH
1,Singapore,107,5896.686,ISCED 3A,ISCED 3A,female,yes,595.035,523.209,498.276,6.88548,yes,yes,1,1,1,101-200,-0.8242,0.5501,HIGH
81,Brazil,85,213993.437,ISCED 3A,"ISCED 3B, C",female,yes,473.379,555.375,478.866,29.0443,yes,yes,3+,2,1,0-10,-0.7586,0.5558,LOW
44,Israel,94,8789.774,ISCED 3A,ISCED 3A,female,yes,456.169,469.938,462.173,13.73738,yes,yes,3+,2,3+,26-100,1.2944,0.4743,LOW-MED
95,Algeria,84,44616.624,ISCED 1,ISCED 2,female,no,490.252,417.644,415.238,49.97985,yes,no,2,0,0,0-10,-3.1407,-2.006,LOW
27,United States,97,332915.073,ISCED 3A,ISCED 3A,male,yes,559.351,504.936,541.973,631.7737,yes,no,2,1,2,101-200,-0.9134,-0.3875,MED-HIGH
45,Ireland,94,4982.907,ISCED 3A,ISCED 3A,female,yes,514.193,575.47,522.223,8.969,yes,yes,3+,3+,2,101-200,1.1039,0.6687,LOW-MED
28,Denmark,97,5813.298,ISCED 3A,ISCED 2,male,yes,480.913,538.981,542.408,15.20762,yes,yes,3+,3+,3+,101-200,1.338,0.3666,MED-HIGH
61,Thailand,89,69950.85,ISCED 3A,ISCED 3A,male,yes,379.018,372.967,341.236,167.5146,yes,yes,2,0,0,0-10,-1.9572,-1.538,LOW-MED
117,Albania,82,2872.933,ISCED 3A,"ISCED 3B, C",female,yes,625.003,738.952,637.346,13.80179,yes,yes,2,3+,2,101-200,0.955575,0.7828,LOW
81,Brazil,85,213993.437,ISCED 2,ISCED 2,male,no,284.448,271.589,320.457,51.79585,yes,yes,3+,0,1,0-10,-1.5335,-1.9874,LOW
91,Montenegro,85,628.053,"ISCED 3B, C",ISCED 3A,female,yes,489.913,545.705,517.562,1,yes,yes,2,2,1,26-100,-0.237,0.5999,LOW
38,Latvia,95,1866.942,ISCED 3A,ISCED 3A,male,yes,605.83,672.372,688.682,3.47947,yes,yes,2,3+,1,201-500,-0.0851,0.4228,MED-HIGH
8,Canada,100,38067.903,ISCED 3A,ISCED 3A,male,yes,467.06,476.885,474.952,2.77155,yes,yes,2,1,1,11-25,-0.6938,0.4793,HIGH
96,Peru,84,33359.418,ISCED 3A,ISCED 3A,male,yes,625.22,588.14,577.142,53.43622,yes,yes,3+,2,1,26-100,-0.1638,1.2597,LOW
44,Israel,94,8789.774,ISCED 3A,ISCED 3A,female,yes,509.605,590.812,543.214,15.87651,yes,yes,2,3+,2,101-200,0.0559,0.8889,LOW-MED
61,Thailand,89,69950.85,ISCED 3A,ISCED 3A,female,yes,505.677,446.969,506.493,3.16667,no,yes,2,3+,2,26-100,0.3962,0.8368,LOW-MED
16,Belgium,99,11632.326,ISCED 3A,ISCED 3A,female,yes,448.419,379.592,304.443,23.11651,yes,yes,1,2,2,0-10,-0.4254,-1.0674,HIGH
76,Costa Rica,86,5139.052,"ISCED 3B, C",ISCED 1,male,no,357.326,325.445,367.103,7.78242,yes,no,1,0,0,0-10,-3.8497,-2.3525,LOW-MED
1,Singapore,107,5896.686,ISCED 3A,ISCED 3A,female,yes,644.966,468.159,571.153,11.96053,yes,yes,3+,3+,1,11-25,0.5692,-0.1438,HIGH
39,Luxembourg,95,634.814,ISCED 2,ISCED 2,female,no,323.204,404.072,363.392,1,yes,no,2,1,1,0-10,-1.0558,-1.0243,MED-HIGH
18,Estonia,99,1325.185,ISCED 3A,ISCED 3A,male,yes,461.752,446.161,471.291,4.88566,yes,yes,3+,2,1,0-10,-0.491,-0.6533,HIGH
11,Finland,100,5548.36,"ISCED 3B, C","ISCED 3B, C",male,yes,402.763,409.967,382.602,9.15646,yes,yes,1,2,1,101-200,-0.0617,1.0336,HIGH
91,Montenegro,85,628.053,ISCED 2,"ISCED 3B, C",female,yes,300.021,373.928,338.139,1.12245,yes,yes,2,1,1,11-25,-0.8985,-0.6768,LOW
19,Germany,98,83900.473,ISCED 2,ISCED 2,female,yes,518.951,500.311,481.212,141.6046,yes,yes,3+,2,1,0-10,0.1499,-0.8854,HIGH
73,United Arab Emirates,87,9991.089,ISCED 3A,ISCED 3A,male,yes,420.44,556.816,463.298,1.36674,yes,yes,3+,3+,3+,101-200,1.7868,1.1837,LOW-MED
35,Spain,96,46745.216,ISCED 2,ISCED 3A,male,yes,513.975,489.324,501.003,55.67353,yes,yes,1,2,0,101-200,-1.2658,-0.3544,MED-HIGH
61,Thailand,89,69950.85,ISCED 3A,ISCED 3A,female,yes,416.029,509.439,448.602,117.011,yes,yes,3+,1,2,11-25,-1.0121,0.5115,LOW-MED
60,Turkey,89,85042.738,ISCED 1,ISCED 1,female,yes,442.068,455.883,440.214,142.4015,yes,no,1,1,0,11-25,-1.8716,-2.8447,LOW-MED
25,New Zealand,98,4860.643,ISCED 3A,ISCED 2,male,yes,438.291,528.985,442.822,11.54539,yes,yes,3+,3+,2,201-500,1.3268,1.2069,HIGH
25,New Zealand,98,4860.643,ISCED 3A,"ISCED 3B, C",female,yes,592.461,641.312,586.872,9.7324,yes,yes,2,3+,3+,101-200,1.9,0.6377,HIGH
108,Colombia,83,51265.844,"ISCED 3B, C",less than ISCED1,female,yes,325.655,373.626,376.105,75.93206,no,no,1,1,0,11-25,-2.4568,-1.2052,LOW
70,Mexico,87,130262.216,ISCED 2,ISCED 1,male,no,361.832,296.835,344.907,290.4856,yes,yes,2,1,0,11-25,-1.9885,-0.7549,LOW-MED
85,Tunisia,85,11935.766,ISCED 1,ISCED 3A,female,yes,439.819,525.895,491.821,22.98097,yes,no,2,3+,0,11-25,-0.8051,0.7359,LOW
18,Estonia,99,1325.185,ISCED 2,ISCED 2,female,yes,544.04,534.075,544.488,1.48469,yes,yes,1,2,1,101-200,-0.3626,0.7738,HIGH
22,Sweden,98,10160.169,less than ISCED1,ISCED 3A,male,yes,277.991,232.471,225.315,17.12247,yes,yes,1,1,0,0-10,-1.1715,-0.9122,HIGH
24,Slovakia,98,5460.721,ISCED 3A,ISCED 3A,female,yes,482.817,511.226,474.679,11.60973,yes,yes,1,3+,2,more than 500,0.7665,1.2796,HIGH
52,Moldova,92,4024.019,ISCED 2,ISCED 2,male,no,320.709,167.963,327.001,4.54703,no,no,1,1,0,11-25,-3.1967,-2.91,LOW-MED
81,Brazil,85,213993.437,ISCED 3A,ISCED 3A,male,yes,440.52,361.793,415.113,235.7783,yes,yes,2,3+,1,0-10,0.1423,0.1452,LOW
20,France,98,65426.179,"ISCED 3B, C","ISCED 3B, C",female,yes,568.773,691.935,689.353,106.4503,yes,yes,1,3+,3+,201-500,0.5866,0.7859,HIGH
10,Switzerland,100,8715.494,"ISCED 3B, C","ISCED 3B, C",female,yes,545.876,561.141,534.936,1.78844,yes,yes,2,2,2,101-200,-0.2174,-0.1221,HIGH
9,Netherlands,100,17173.099,ISCED 2,ISCED 2,male,yes,516.17,521.342,549.543,26.25302,yes,yes,0,2,1,26-100,-0.5141,0.3674,HIGH
4,Japan,104,126050.804,ISCED 3A,"ISCED 3B, C",female,yes,576.988,668.68,643.791,161.4923,yes,yes,2,3+,2,201-500,-0.0157,-0.1122,HIGH
127,Qatar,80,2930.528,"ISCED 3B, C","ISCED 3B, C",male,yes,606.982,586.772,662.719,1.01538,yes,yes,3+,3+,1,201-500,1.29,0.6641,LOW
95,Algeria,84,44616.624,ISCED 2,ISCED 2,female,no,271.115,292.192,406.818,16.35556,yes,yes,2,0,0,11-25,-2.7281,-1.4194,LOW
58,Uruguay,90,3485.151,ISCED 3A,ISCED 3A,female,yes,527.218,573.593,564.217,6.33881,yes,yes,3+,1,1,101-200,-0.3191,-0.422,LOW-MED
34,Italy,96,60367.477,ISCED 3A,ISCED 2,male,yes,525.499,451.217,484.962,93.14453,yes,yes,1,1,1,11-25,-0.7729,-0.266,MED-HIGH
43,Portugal,94,10167.925,ISCED 3A,ISCED 2,male,yes,516.412,532.466,523.292,12.90881,yes,yes,1,1,1,0-10,-1.415,-0.9205,LOW-MED
62,Chile,89,19212.361,"ISCED 3B, C",less than ISCED1,female,yes,478.338,466.906,420.501,23.08869,no,no,2,1,0,201-500,-1.3882,-1.094,LOW-MED
99,Lebanon,84,6769.146,less than ISCED1,ISCED 1,male,yes,475.915,350.711,421.698,7.87781,yes,yes,1,1,0,11-25,-1.6219,-2.0403,LOW
61,Thailand,89,69950.85,ISCED 1,ISCED 1,female,no,192.979,192.645,237.941,31.08621,yes,yes,1,0,2,11-25,-2.2299,-2.8023,LOW-MED
44,Israel,94,8789.774,"ISCED 3B, C","ISCED 3B, C",female,yes,579.99,471.614,513.78,21.07409,yes,no,3+,3+,1,more than 500,0.216425,-0.2317,LOW-MED
16,Belgium,99,11632.326,ISCED 3A,ISCED 3A,female,yes,620.685,663.566,609.144,12.87384,yes,yes,1,3+,1,201-500,0.0204,1.2853,HIGH
5,South Korea,104,51305.186,ISCED 3A,ISCED 3A,female,yes,545.8,660.848,550.295,113.7879,yes,yes,1,3+,2,201-500,-0.3631,1.0744,HIGH
35,Spain,96,46745.216,ISCED 2,ISCED 3A,female,yes,398.382,343.004,346.587,82.38727,yes,yes,3+,3+,3+,26-100,1.4361,0.4781,MED-HIGH
46,Lithuania,94,2689.862,ISCED 3A,ISCED 3A,female,yes,514.7,659.698,536.75,5.63242,yes,yes,3+,2,2,26-100,-0.1198,0.541,LOW-MED
44,Israel,94,8789.774,"ISCED 3B, C",ISCED 3A,male,yes,461.645,391.801,429.885,17.34581,yes,yes,3+,3+,1,11-25,1.064,0.6555,LOW-MED
117,Albania,82,2872.933,ISCED 3A,"ISCED 3B, C",female,yes,445.55,418.928,472.402,4.8126,yes,yes,2,3+,0,26-100,-1.1053,0.281875,LOW
108,Colombia,83,51265.844,ISCED 3A,ISCED 3A,female,yes,366.07,450.785,415.359,86.27158,yes,yes,3+,1,2,11-25,-0.0799,-0.4422,LOW
10,Switzerland,100,8715.494,ISCED 3A,ISCED 3A,male,yes,669.923,640.047,634.04,13.99648,yes,yes,1,3+,2,201-500,-0.0967,1.3772,HIGH
81,Brazil,85,213993.437,ISCED 3A,ISCED 3A,male,yes,343.468,407.758,397.549,48.20931,yes,yes,2,0,0,26-100,-1.3128,-1.4433,LOW
47,Greece,93,10370.744,ISCED 3A,ISCED 1,male,yes,446.013,304.195,388.374,18.78973,yes,yes,2,2,1,0-10,0.1035,-0.574,LOW-MED
73,United Arab Emirates,87,9991.089,ISCED 3A,ISCED 3A,female,yes,454.931,492.74,425.939,2.31307,yes,no,2,3+,3+,11-25,0.4607,0.9589,LOW-MED
8,Canada,100,38067.903,ISCED 3A,ISCED 3A,male,yes,644.118,583.05,584.033,56.30992,yes,yes,2,3+,3+,101-200,1.7271,1.655,HIGH
28,Denmark,97,5813.298,ISCED 3A,ISCED 3A,male,yes,553.86,509.097,582.563,1.33667,yes,yes,1,3+,1,more than 500,-0.485,1.4223,MED-HIGH
20,France,98,65426.179,ISCED 3A,ISCED 3A,female,yes,617.751,624.917,623.265,100.6703,yes,yes,0,3+,1,101-200,-0.4754,0.7833,HIGH
18,Estonia,99,1325.185,ISCED 3A,ISCED 3A,female,yes,636.25,609.182,611.354,1.35714,yes,yes,2,1,1,11-25,-0.3173,-0.2288,HIGH
36,Poland,96,37797.005,ISCED 3A,ISCED 3A,female,yes,504.859,542.014,515.859,85.77932,yes,yes,1,3+,3+,101-200,-0.2171,-0.3092,MED-HIGH
81,Brazil,85,213993.437,ISCED 3A,ISCED 3A,male,no,283.224,193.772,281.03,51.82304,yes,yes,0,0,0,0-10,-1.0393,0.5517,LOW
73,United Arab Emirates,87,9991.089,ISCED 3A,ISCED 3A,male,yes,328.51,294.759,302.479,2.55607,yes,yes,3+,2,3+,11-25,1.2886,0.6081,LOW-MED
62,Chile,89,19212.361,"ISCED 3B, C",ISCED 2,female,yes,446.873,452.423,461.773,34.96249,no,no,3+,1,1,101-200,-0.6912,-0.3038,LOW-MED
9,Netherlands,100,17173.099,ISCED 3A,ISCED 3A,male,yes,649.747,688.54,616.113,30.8005,yes,yes,3+,3+,2,201-500,0.7068,1.0571,HIGH
46,Lithuania,94,2689.862,ISCED 2,"ISCED 3B, C",female,yes,461.213,518.185,541.468,5.07684,yes,no,1,2,1,11-25,-0.7162,-1.1242,LOW-MED
16,Belgium,99,11632.326,ISCED 3A,"ISCED 3B, C",male,yes,507.796,561.833,584.72,16.44871,yes,yes,3+,3+,2,101-200,1.1342,1.0524,HIGH
8,Canada,100,38067.903,ISCED 3A,ISCED 3A,male,yes,533.433,570.619,520.753,3.0017,yes,yes,3+,2,2,101-200,0.4894,0.8635,HIGH
24,Slovakia,98,5460.721,"ISCED 3B, C","ISCED 3B, C",male,yes,401.035,295.281,323.258,11.83503,yes,no,2,3+,0,26-100,-0.3698,-0.8977,HIGH
10,Switzerland,100,8715.494,"ISCED 3B, C","ISCED 3B, C",female,yes,492.643,501.178,485.799,15.987,yes,yes,1,2,1,26-100,-1.1899,-0.3434,HIGH
75,Jordan,86,10269.021,ISCED 3A,"ISCED 3B, C",male,yes,402.863,521.637,487.655,16.29592,yes,yes,3+,1,2,0-10,-0.8822,-0.1796,LOW-MED
85,Tunisia,85,11935.766,ISCED 3A,ISCED 3A,female,yes,370.269,335.363,398.158,12.76339,yes,yes,2,3+,2,26-100,0.6167,0.0382,LOW
25,New Zealand,98,4860.643,ISCED 3A,ISCED 3A,male,yes,513.592,621.469,540.713,20.42696,yes,yes,2,2,3+,201-500,0.558,0.8539,HIGH
26,Iceland,98,343.353,ISCED 2,ISCED 3A,male,yes,501.224,468.849,436.481,1.05263,yes,yes,3+,3+,2,0-10,0.8934,-0.2362,HIGH
29,Norway,97,5465.63,less than ISCED1,"ISCED 3B, C",female,yes,560.783,509.487,558.386,9.75352,yes,no,1,3+,0,0-10,-0.2809,-0.3125,MED-HIGH
60,Turkey,89,85042.738,ISCED 1,ISCED 1,female,yes,445.781,476.376,489.051,196.1469,yes,yes,1,1,1,11-25,-1.424,-2.3248,LOW-MED
80,Indonesia,85,276361.783,ISCED 1,ISCED 1,male,no,350.511,328.525,319.148,909.15837849,no,yes,1,0,0,0-10,-3.2413,-3.2186,LOW
117,Albania,82,2872.933,ISCED 3A,ISCED 3A,female,yes,472.048,457.328,534.258,6.04157,no,yes,3+,2,1,26-100,-0.14485,0.503775,LOW
41,Vietnam,94,98168.833,ISCED 3A,ISCED 3A,male,yes,460.29,541.413,549.344,157.0186,yes,no,3+,1,0,0-10,-1.4903,-1.2963,LOW-MED
47,Greece,93,10370.744,ISCED 1,ISCED 2,female,yes,467.06,499.932,463.858,17.02317,yes,yes,3+,2,1,11-25,-0.7344,-1.4561,LOW-MED
47,Greece,93,10370.744,ISCED 3A,ISCED 2,male,yes,484.34,520.88,535.816,23.67611,yes,no,2,2,1,26-100,-1.2125,-0.9837,LOW-MED
33,Russia,96,145912.025,ISCED 3A,ISCED 2,male,yes,446.228,506.435,492.644,315.6302,yes,yes,3+,3+,1,101-200,0.201,-0.0508,MED-HIGH
24,Slovakia,98,5460.721,"ISCED 3B, C","ISCED 3B, C",male,yes,497.49,464.106,521.597,6.03246,yes,yes,3+,3+,0,more than 500,-0.8449,-0.9124,HIGH
34,Italy,96,60367.477,ISCED 2,ISCED 2,female,yes,407.207,398.948,374.237,47.24218,yes,yes,2,1,2,26-100,-0.7122,-1.5665,MED-HIGH
47,Greece,93,10370.744,ISCED 3A,ISCED 3A,female,yes,468.335,452.857,428.309,10.31704,yes,yes,1,1,2,26-100,-0.5394,0.1132,LOW-MED
44,Israel,94,8789.774,ISCED 3A,ISCED 3A,male,yes,573.944,588.803,516.657,14.86622,yes,yes,1,3+,2,101-200,0.6126,1.0086,LOW-MED
14,United Kingdom,99,68207.116,"ISCED 3B, C",ISCED 3A,female,yes,500.907,570.608,570.211,14.96604,yes,yes,3+,3+,2,0-10,0.8279,-0.2312,HIGH
96,Peru,84,33359.418,ISCED 1,ISCED 3A,male,yes,339.362,419.356,418.227,48.20221,yes,yes,2,0,0,11-25,-2.3135,-1.4879,LOW
23,Hungary,98,9634.164,ISCED 3A,ISCED 3A,male,yes,580.092,609.558,633.551,11.45101,yes,yes,3+,1,2,more than 500,-1.3807,0.8246,HIGH
81,Brazil,85,213993.437,ISCED 3A,less than ISCED1,male,yes,375.891,350.424,395.167,195.3275,yes,yes,3+,3+,1,0-10,0.6685,0.1806,LOW
22,Sweden,98,10160.169,ISCED 2,ISCED 2,male,yes,227.455,261.567,160.006,15.78584,yes,yes,3+,1,2,more than 500,0.5226,1.4068,HIGH
80,Indonesia,85,276361.783,"ISCED 3B, C","ISCED 3B, C",male,no,446.213,507.374,446.353,578.04973594,yes,yes,2,1,0,11-25,-1.9088,-1.4388,LOW
47,Greece,93,10370.744,ISCED 2,"ISCED 3B, C",female,yes,478.157,584.463,477.842,17.10641,yes,no,2,2,2,11-25,-0.7276,-0.8064,LOW-MED
27,United States,97,332915.073,ISCED 3A,ISCED 3A,male,yes,623.209,570.821,557.265,680.967,yes,yes,3+,3+,3+,201-500,0.9166,0.9491,MED-HIGH
81,Brazil,85,213993.437,less than ISCED1,less than ISCED1,male,yes,343.911,212.061,325.636,97.16465,no,yes,2,0,0,0-10,-2.4193,-3.1071,LOW
46,Lithuania,94,2689.862,"ISCED 3B, C",ISCED 3A,male,yes,486.186,501.996,444.921,4.79318,yes,yes,3+,2,1,26-100,-0.8015,-0.7411,LOW-MED
26,Iceland,98,343.353,ISCED 3A,"ISCED 3B, C",male,yes,443.942,549.413,530.031,1.05882,yes,yes,1,2,1,101-200,-0.6985,1.3207,HIGH
1,Singapore,107,5896.686,ISCED 3A,ISCED 3A,male,yes,553.044,528.338,563.826,4.55703,yes,yes,1,2,1,26-100,-0.0025,0.85,HIGH
96,Peru,84,33359.418,ISCED 3A,ISCED 3A,male,yes,406.626,433.269,409.383,59.17774,yes,yes,3+,3+,3+,26-100,0.6516,1.1568,LOW
10,Switzerland,100,8715.494,"ISCED 3B, C",ISCED 3A,male,yes,534.074,483.988,546.003,13.72386,yes,yes,2,2,3+,101-200,0.192,0.9882,HIGH
38,Latvia,95,1866.942,ISCED 3A,ISCED 2,male,yes,439.378,466.256,419.493,2.50384,yes,yes,3+,2,3+,201-500,-0.0306,0.3833,MED-HIGH
81,Brazil,85,213993.437,"ISCED 3B, C","ISCED 3B, C",male,yes,510.377,565.698,543.165,85.83023,no,yes,3+,1,3+,26-100,-0.4739,0.7328,LOW
28,Denmark,97,5813.298,ISCED 2,ISCED 3A,female,yes,402.66,388.345,365.169,1.93569,yes,yes,2,2,0,11-25,-0.3991,-0.9993,MED-HIGH
33,Russia,96,145912.025,ISCED 3A,ISCED 3A,male,yes,463.595,369.773,443.495,141.9059,yes,yes,2,2,2,0-10,-0.5149,-0.5182,MED-HIGH
76,Costa Rica,86,5139.052,ISCED 3A,ISCED 3A,female,no,435.698,507.762,470.145,5.09066,yes,no,1,1,0,11-25,-2.1197,0.1534,LOW-MED
81,Brazil,85,213993.437,ISCED 3A,ISCED 3A,male,yes,543.263,501.763,485.787,86.90739,no,yes,3+,2,1,26-100,-0.4286,0.5386,LOW
36,Poland,96,37797.005,ISCED 3A,ISCED 3A,male,yes,549.54,612.768,615.281,74.9247,yes,yes,3+,3+,2,101-200,1.2234,0.6479,MED-HIGH
108,Colombia,83,51265.844,"ISCED 3B, C","ISCED 3B, C",male,yes,306.666,437.843,378.896,16.00159,yes,yes,3+,2,0,0-10,-0.441,-0.0076,LOW
29,Norway,97,5465.63,"ISCED 3B, C",ISCED 3A,female,yes,446.371,478.89,430.157,11.31678,yes,yes,2,2,1,0-10,-0.1543,-0.1354,MED-HIGH
81,Brazil,85,213993.437,ISCED 3A,ISCED 2,female,yes,300.972,490.327,449.703,305.1356,no,no,1,1,0,11-25,-1.9598,-1.2546,LOW
77,Georgia,86,3979.765,ISCED 3A,ISCED 3A,female,yes,370.474,437.082,486.304,1,yes,no,1,1,1,201-500,-1.8358,-0.0906,LOW-MED
44,Israel,94,8789.774,ISCED 3A,ISCED 3A,male,yes,650.055,636.866,615.307,13.73738,yes,yes,2,3+,2,26-100,0.502,0.2605,LOW-MED
25,New Zealand,98,4860.643,ISCED 3A,ISCED 3A,male,yes,528.134,599.789,636.486,7.74631,yes,yes,1,3+,3+,more than 500,0.0409,0.9633,HIGH
16,Belgium,99,11632.326,ISCED 3A,"ISCED 3B, C",male,yes,576.882,571.322,510.479,12.47561,yes,yes,2,1,1,26-100,-0.5903,0.1725,HIGH
23,Hungary,98,9634.164,ISCED 3A,ISCED 3A,male,yes,427.347,463.54,432.29,14.04562,yes,yes,2,3+,1,11-25,0.1808,-0.6909,HIGH
1,Singapore,107,5896.686,ISCED 3A,ISCED 3A,female,yes,599.627,614.331,609.745,7.94737,yes,yes,3+,2,2,201-500,0.4956,0.9913,HIGH
14,United Kingdom,99,68207.116,"ISCED 3B, C","ISCED 3B, C",female,yes,413.373,453.016,466.139,101.16,yes,yes,3+,3+,1,26-100,0.393,-0.2579,HIGH
47,Greece,93,10370.744,ISCED 3A,ISCED 3A,male,yes,527.511,471.514,513.699,9.00279,yes,yes,2,1,1,201-500,-0.8822,-0.8084,LOW-MED
34,Italy,96,60367.477,ISCED 3A,ISCED 3A,male,yes,481.431,493.086,472.4,94.3413,yes,yes,3+,3+,3+,more than 500,4.0528,1.9372,MED-HIGH
75,Jordan,86,10269.021,ISCED 2,ISCED 3A,female,yes,203.603,243.326,272.017,14.95505,no,yes,3+,0,1,201-500,-0.3594,-0.4841,LOW-MED
22,Sweden,98,10160.169,ISCED 3A,ISCED 3A,female,yes,667.589,650.642,682.577,13.66032,yes,yes,2,1,2,101-200,-0.2179,-0.0624,HIGH
34,Italy,96,60367.477,ISCED 2,ISCED 2,male,yes,411.206,336.907,354.843,90.39389,yes,yes,3+,3+,2,26-100,1.1912,1.1462,MED-HIGH
5,South Korea,104,51305.186,ISCED 3A,ISCED 3A,male,yes,600.436,549.176,574.881,97.23071,yes,yes,1,1,1,101-200,-0.7655,0.1685,HIGH
